user_id,group_name,industry,template_activity
266841f01834df0,control,,5.0688
49f09baf8f1a380,test,Преподавание и обучение,3.8206
65ba83891785ada,control,Управление продуктом,4.6356
0d0ee5d2120cda1,test,,6.0499
ad2f8a699b74edb,test,Преподавание и обучение,6.5042
4ef09bdb2bbe63d,test,Преподавание и обучение,4.8707
3e3b4b2afd0085f,control,Управление командой,4.34
248b5f106346442,test,,6.3201
494a4ae42e7ce97,test,,5.2696
2ec90bdb804615a,control,,3.793
60187d8238c4f83,control,Преподавание и обучение,4.5627
4ddf31499c5b88b,test,,5.7974
3468e9513480c12,control,Другое,4.6904
62c864d45f7af75,test,,5.1472
8eff1fa759440e3,test,Редактура и копирайтинг,3.6126
49a87b3d9528759,control,,8.9754
41f03ab7aeeae2d,control,,4.349
50e53164fb5909b,test,,5.3276
240d7c83c5944e4,test,Преподавание и обучение,4.8613
063a0732b1c47dc,control,,4.8571
bdb7907295c5539,test,,6.2799
b0a7ffa6e8d9697,control,Преподавание и обучение,5.1058
74f1f9fe22dd82e,test,Разработка и инженерия,5.559
ad1f5d4c15fbba4,test,,4.424
0492a2eda6ce83d,test,,7.3761
d37385eb3f60d17,test,Аналитика и исследования,5.0724
a1156783b1d3dae,test,,5.8458
4354a8aef3e1dd9,control,,5.5727
cde5748b49c5281,test,Преподавание и обучение,5.063
933d4ec61d3fcfc,control,,2.5781
da4702b32102f8e,test,,6.0542
ccea97531082995,test,,4.9038
733efe20ebd0abf,test,Преподавание и обучение,5.0139
6307a64fbd34208,control,Управление продуктом,4.4181
db1249932d07b41,control,,6.0341
9208e70ba2f5647,test,,7.7638
287a6ddd9fc711e,test,,4.8337
bf2ab277324d79b,test,,5.8022
7afec4e8993e309,test,Преподавание и обучение,7.1648
90e5f4b4d3dca8a,control,Другое,4.022
ba3574f699c39a0,test,,6.6799
d0d37809911b07b,test,,4.815
94699a7bfe5cb40,test,,6.5397
febed56502bdc55,test,,4.9264
c8bdb6f98b4795f,control,,5.6439
296d59d7b8d715f,control,Управление продуктом,5.2003
3f5e1e7fe25afa5,control,,6.0097
e5db4422284ac53,control,,4.3448
d9e4b1b2cbc7d8a,test,,3.8891
41f1c58ee421357,test,Преподавание и обучение,6.0937
63e8f7b183b5b95,test,Преподавание и обучение,4.4231
ac6b055f118c0a6,control,,4.7141
482f00c9166333b,control,,4.731
5f5401f6922f2b6,control,,6.2476
edc0565e910b033,test,,5.2046
4bf8633118a73c7,control,Преподавание и обучение,6.0892
88c828411d02006,control,,5.1756
bb163b18c93ddc6,control,Другое,6.154
d0b8eed1332a2e2,control,,4.4767
b72268ad75bf5f5,control,,4.5641
94ffc92b8e9b034,control,,5.637
1c0f236957a0643,test,,5.0831
7e215b3694892ad,control,,4.6609
42c75654d84e942,control,,7.1012
b2857a55cf6e5e9,control,Преподавание и обучение,5.8267
a07b53455ee63b1,test,,4.4914
5090d77abb5546d,test,,6.319
96d6837eaf44864,control,,5.0366
8c2bf95f433bb07,control,,6.4094
fb62c5f7740b092,control,,5.6642
a43a42b6d6c6e1d,test,Дизайн,6.3555
b2fe297639f3b33,test,Преподавание и обучение,3.765
60413d178d1a146,control,,4.3807
a3a2f650d3090d5,test,,5.8096
3efa2e590f93df6,control,Преподавание и обучение,4.533
144645ad32d16f4,test,,5.2682
f91530bd548a1b4,control,,4.8967
91b79326cdb3fd4,test,Преподавание и обучение,6.2521
1b510bc68857b13,test,Преподавание и обучение,6.4092
2d64f041fa77825,control,Преподавание и обучение,3.3412
60c788ff65977da,test,Дизайн,4.8685
c796857d8e85141,control,,6.6853
a8c0bea2296dde7,test,Преподавание и обучение,5.0002
6f4e6ce17ad5f54,control,Преподавание и обучение,5.5811
61fd3e38441d889,control,Преподавание и обучение,4.249
1690e3dd184c708,control,,4.6354
0c890bbf9d8bd2b,test,Другое,6.9681
3fcc96cc55b3b1c,control,,5.0683
9d71fc87a51e8d6,test,Преподавание и обучение,4.9405
9d04e82c73f1daf,control,,5.3415
990c46e7d7e88ab,control,Преподавание и обучение,4.6646
eb82b25f4d81b15,test,,5.6188
3de69a7d8342db0,test,,5.0211
c7d5826acd2b6e5,control,,7.0322
d9ea3fad982d876,test,,5.0817
664298f29ebe471,test,,6.3696
fa83f06160d006e,control,Преподавание и обучение,6.4518
53f9ecc63e8398f,control,,4.6552
bd4f1e20fc73e9d,control,,5.9186
09b344b00781f93,control,Преподавание и обучение,4.901
da4c4829e26f968,control,,3.7431
3d9e089350f3f16,control,Преподавание и обучение,5.5275
e490a2175891b28,test,Другое,5.329
e8d855929fc10b9,test,,3.9018
039649ad8d64f16,control,Разработка и инженерия,3.5738
448423c8cb42d2b,control,,6.5583
ad0861e10fd5f3f,test,,4.8845
166a2e371b58075,test,,2.8351
b7628272494aa50,test,,4.806
15044ad493be273,control,,3.1952
10110ebc083244b,test,,6.8296
48304783a9913e5,test,,6.0845
43932b4760c976b,control,,5.7666
bdd0b530d8639ff,test,Управление продуктом,4.7805
b97b7651a08c648,control,,4.2381
3c12ebd60030ae4,control,,6.1131
70d44fc007d2391,test,,5.8648
04b47805b02116e,test,,5.302
034ece3000fc232,control,,7.4582
042d51c0e58548c,control,,5.0476
526f7a2194b5dbb,test,,5.098
9f7a281776537d5,test,Разработка и инженерия,3.6231
0b48f65caa5bb9e,control,,3.9706
5be5ae430177779,test,Другое,4.757
1d793d5e247571a,control,Разработка и инженерия,2.4735
29468b013baae0d,test,Преподавание и обучение,5.2372
8448642d65424d4,control,Преподавание и обучение,6.5016
849fb8614c6142f,control,Управление продуктом,4.2178
ecb53c4ebbd286c,test,Преподавание и обучение,5.6483
92876181045e338,control,,6.4389
b894cfad05cabb5,control,,4.0724
9742f1a28113632,control,,6.3533
46b7d256ed7012b,control,,4.1996
57a59ba7920d44d,control,,5.9226
2375d0ba5e9bde4,control,,5.1105
76b591252b59d86,control,,5.432
a000156a2b575af,test,,6.3957
7a424738c92f9c7,control,,4.8933
c8eb2dbbcce6dc0,control,Другое,4.2654
2682a427fd0ceb8,control,,3.0791
59d4ba4e58cc0cd,control,,3.2558
84609778746509b,test,,6.2275
ab2c8142e320c4f,control,Разработка и инженерия,4.6012
a8c334fb7a807ad,test,,4.0011
15c5ac918aa7e29,test,,6.4612
db750d0d79374a2,control,,4.1636
ea211c5394b4518,test,,4.9623
22d8ceff32b3101,control,,7.7954
a67a4f9060a4d45,control,,6.9554
ac6af4d324a1955,control,,4.3994
5d313fc17697a76,test,,5.7934
f8142e317a9e416,test,,4.0313
0bd1539de61f1ba,control,,4.3506
85a42bcb7a435cb,control,Дизайн,5.7482
a1c72ce0079d462,control,Преподавание и обучение,5.4878
604bbafa06b4dab,control,,2.7245
990a18f90d7582c,test,,4.7476
3300ce748242939,control,,3.4315
57d07063ea83b7d,test,,7.7712
86597890700a5dd,control,,4.2601
716bb75828bad69,test,Преподавание и обучение,7.583
81f08441c12ab2a,test,Преподавание и обучение,5.9231
2f7144b0f597e11,control,,4.9235
e878e5a9cc24c2e,test,,4.7947
50f08a54e21e7bf,control,,3.9923
e8a5f3cb56506e5,control,Преподавание и обучение,3.3882
4ba0412ccbb555e,control,Управление командой,5.2556
3b379da02c66346,control,,4.6136
17233cb80cb2810,control,Редактура и копирайтинг,4.905
9dca38c690ff92f,control,,7.063
e3795dd9de8d7d1,test,,3.1484
9e99939662e02c9,control,,3.5835
b4ab0c714a26b14,control,Преподавание и обучение,8.0404
6dc705e360f908e,control,Аналитика и исследования,3.8355
402a776a8951401,test,Разработка и инженерия,2.3052
502b124d891001b,control,,4.951
c282f1f9017f43e,test,,5.119
6a0e5387087ed0e,control,,5.3272
98f72c3aca45c83,control,,4.1683
b6b88153e7a8330,test,,5.331
28159d9557e2980,control,,4.4099
1bd7aaaf4988238,test,,4.4004
14907dff9d9fbf6,test,,4.3294
5bfa7c6db096b4f,control,,5.6001
48c7584397451f9,control,,3.8359
488cbfd0801f34a,control,Другое,4.3403
5297be6aaf6aa96,control,,5.8538
033285a4389c812,test,,5.6709
36d7a1cbee820e7,control,,5.3141
f17272b156a7111,control,,5.7734
ab6183d92fba22b,test,,6.8484
e036342817d400b,test,Преподавание и обучение,3.6347
f6e03de1bb6c4a5,control,,5.5903
f2677f1b642522b,test,,4.5417
980adc3ee3e733a,control,,6.2602
23d2bdd014a02bd,test,,5.8242
481faa830f5ac41,test,,6.6127
49ac7787476c69b,control,,5.338
f5faaeb5365b26f,control,Преподавание и обучение,6.8898
a133cff0a8430fa,test,Другое,5.9065
c6b4b641351db77,test,,4.3052
ae71eb1f59aa893,test,,5.0134
4f0b573f2a098d4,test,Преподавание и обучение,2.4783
de8cd95bd1822e3,test,,6.5287
e6a0a862792d00f,control,Маркетинг и реклама,5.881
c22cdb0e7abe5d0,test,,6.3048
d291fc50b577d33,test,,4.6052
ec4154d44220efa,test,,3.7952
2656a9d8f5d31ab,test,Преподавание и обучение,4.3304
27fa3b63a5ef43b,control,,4.0197
ee8651de2212523,test,,5.6413
79ec782a90a3df7,test,,7.0006
0c7f63ce3efe55b,control,,5.407
699721e5452b94b,control,,6.384
99cc1987f9f41bf,test,,5.4849
e86855d225212a3,control,,5.9413
706e20e2e91c684,control,,5.3349
2d7e4c86d7f1eaf,test,,6.8574
9f5f4c578c57bee,test,,5.7306
88b2761b82d0661,test,,5.9751
5cda3d6c03296d8,test,,4.9835
ac0a91cef58908b,test,,6.3587
bd686106e6424f7,test,,3.004
f5a3fd37ee8e205,test,,4.9534
2233b833564d6b3,control,,2.8478
b446d162b4460a3,control,,4.1519
9741a16f65076e7,control,,4.5259
ddd91d4d51a8d28,test,Преподавание и обучение,4.7001
58924bfc2b9c725,test,,4.1764
0f850c8d6581cd5,control,,4.1008
4f531c4baf244d4,control,,5.6872
7674ce2eba98660,control,Преподавание и обучение,5.8813
0477153aa331a16,control,,3.5213
35b19ac4fc38992,control,,2.7067
b2a265d620670e3,test,,7.0829
91e97cd28d20d93,test,,4.7991
96da04d5e20a03a,test,,5.5431
79f3114633283c4,test,,5.1635
1f3363d6bcb75cd,test,Преподавание и обучение,6.9443
b87c1ba7bcb237b,control,,4.9517
9f23ab1cc8c5fb1,test,,3.0891
d7f85c088941a92,control,,5.2794
68a95ebc7bf3f4e,control,Бизнес и предпринимательство,5.4211
a809b7a2f1d3c80,control,,4.772
f91aba46c356a35,control,Преподавание и обучение,4.6297
75649dff6a68b37,control,,4.9055
74e78a4659c685a,control,,5.4022
c98fe02ac2f243e,test,Другое,3.7476
a63349020a66f72,control,,4.7123
39c2c11f6896499,control,Преподавание и обучение,4.9226
b83d028a7001f41,test,,4.8201
3746ac551fd04e1,test,Другое,6.7129
f43883bb1c6ac8a,test,Другое,6.1113
3e91455405a195d,test,,5.5018
d59d8209a72da50,control,Преподавание и обучение,4.9391
d0580954d401e42,control,,3.4252
bf071cd503bbcec,test,,4.792
6525c8bcffcf97e,control,Преподавание и обучение,4.0403
7fad65e2a5e6ce6,control,Преподавание и обучение,4.5887
8d2eb69348e9f70,test,Преподавание и обучение,6.7366
6f0134b95063855,test,,5.5067
b81999315c559ae,control,Преподавание и обучение,3.9906
e3f9282885adcdf,control,,5.0956
70d05e3e7caa237,control,Дизайн,6.1098
8a858464d6f2376,control,,5.3888
74373132a580e98,test,,4.2231
ad0f55b30c04f2c,control,,6.2631
ce5164c68ca42e7,test,Аналитика и исследования,5.4421
52ebef849d5e8c0,control,,3.9122
40c7bc700a07e14,test,,5.8617
f778d046a3697a2,test,,4.4022
26f8dafe096eeab,control,Преподавание и обучение,3.8011
3ff3e8bcee60e11,test,,4.4499
45ddd2e1beb4819,test,,4.1966
d18b8efef504d7c,control,,5.4499
68cbf0888e8a951,test,,2.7789
c2e97190c24a204,control,Дизайн,4.8127
b46daa88b942413,control,,5.0136
83a3f897e753690,test,,3.6372
d038a0e49a287a4,test,,3.4632
ce59f2ab046c5b6,test,Преподавание и обучение,7.2244
e08ee52bd226d48,test,Преподавание и обучение,5.8071
602f3cbf0bfe687,control,,5.219
5b078947061016f,control,,4.7734
cb302837e4ee97a,control,Преподавание и обучение,4.5146
2f86292fa95cb52,test,,5.6492
de822883e4f0eb0,test,,6.8843
563aa29b6ec397a,test,Преподавание и обучение,7.0429
c4d89a6156b3306,control,,4.4222
8dc9e9c83df915b,control,,5.0336
5b18a0cef45276f,test,,4.7694
f1131cd77f09971,control,,4.3006
c3316855e1c960e,control,,8.1692
eed59a1562d3656,control,,5.9053
cbb9d41e15ed90e,test,,6.6775
64946ab2e416515,control,Преподавание и обучение,3.8815
6ec1f5b3f63c4a6,test,,6.1294
514371be2e1e61d,control,Другое,3.8332
5aee9326b22bc2e,control,Преподавание и обучение,5.8898
bb9b2b846f55d17,test,Другое,5.4598
09b28dd61cffe92,test,,5.0898
cd267235190f41a,test,,2.5854
d4ecb00fb9260b8,control,,3.867
80a5ccb0fdac2f8,control,Преподавание и обучение,5.4024
005f6c7ef8932c3,control,,3.5887
c7d87136590f5b4,control,,3.8123
fba88943a705812,test,Преподавание и обучение,3.5101
0a0f11628a2222a,control,,5.3211
c52b56df69d44f9,control,Другое,4.6164
eef7e465d5baa32,control,,5.4216
2967fdbfb924cb6,control,Дизайн,5.6886
605ad05f34d3f56,test,,5.3446
62bfb1f3af2744a,test,,5.6887
5146560031fb07f,test,Преподавание и обучение,6.3787
93c27c508d9de96,test,,4.9429
761844a81f0a351,test,,3.4677
594eedf13d1e906,test,Преподавание и обучение,8.3032
cb9cbaadbe0e578,control,Дизайн,5.6234
8cec80d1815279f,test,,3.7299
7b3c05043b37806,control,,3.7315
732916721d8d0fe,test,,5.7972
48013b7b9977f50,test,,3.7815
625e7c6350e4bf1,test,Разработка и инженерия,5.1996
5866bbd7ad3bfd1,test,,4.0734
b7a6d635d4cec12,control,,4.0425
0ece898df191121,test,,4.7518
6a9ec60bea67269,control,,3.9581
e4727e6d2004530,control,,2.9493
dd4605a3dd27dad,test,,4.9476
25882c4176e8e50,test,Другое,6.522
f93207639305608,control,,5.1253
14f7b5bcc401110,test,,6.5677
dd31532dac09d61,test,,3.9187
75fec9fa90b7638,control,,2.7525
7c068f7f8d27a13,control,,4.9414
ead38b0b79fcd3b,test,,6.9141
d5c1f7eec226f5e,control,Преподавание и обучение,5.5483
71163e9b5262ec4,control,Другое,6.3547
41f3d3dad49ca6b,control,Другое,6.2012
579c9ca1444bdfd,test,,5.0943
e5e2d7755f881ff,test,,4.262
f59f40c5a4ac5ff,control,Другое,4.4822
d473639e100b3b1,control,Преподавание и обучение,5.9655
0e1fc391dd4d0c0,test,Преподавание и обучение,5.1595
ae78cba9c5321c3,test,,4.8383
1453145ea2a5088,test,,4.0626
8177368ecd25aba,test,,6.1032
94828a9901602a8,control,,4.1439
375a6aff57a0ef0,control,,4.6571
e698bb20567950f,test,,5.3365
76ed374ca3eb02b,test,Преподавание и обучение,4.8534
0c18273ab881ec3,control,,5.0517
6908b9eb634faf2,test,,5.114
f6e6b075290c842,test,Преподавание и обучение,4.807
ae75721e3a30bc9,control,Преподавание и обучение,5.0179
27d47e54964fc22,control,Преподавание и обучение,4.8209
68f5c8151eacd7e,control,,5.2847
2eeac37ff53675a,test,Преподавание и обучение,4.3297
334124d5fea15ea,control,,4.2819
8c6f63130ea42d8,control,,4.1223
7ae4466832e48de,control,,5.9072
f32aa7827c8b828,test,,5.6411
c70c00463f00e5d,control,Другое,3.5815
578a40abb498c58,test,Преподавание и обучение,5.019
b0efeff26514e5f,control,Преподавание и обучение,4.3313
d5a84f59fad3bd6,control,,5.1506
d3e371a4309d84d,test,,4.6884
2d4da168e7c2c4b,control,,7.0163
567a40d670a3ccb,control,,6.5048
6b75465439b7d36,test,,4.5697
e9b13e8ac1694f2,control,,5.844
23de2b5cc8af4b8,test,Другое,7.9561
1c8d9cf84a7a01b,control,,6.0921
0744f65b1236e6f,control,,3.4223
d92516310495468,control,,5.5255
e79df0c05409ef7,control,,5.3148
a0ad82cdd2c4204,test,,4.0599
8422326e36a3417,control,,5.4772
dfcbd0727abc93b,control,,3.6174
7ed20e533146307,test,,5.0568
626cce07c71dee3,control,,5.9473
27c6126d63bf1b7,control,,4.9242
1f5bf48f20e2c1d,test,,4.5828
f13eced7da5945c,control,,4.1175
be1a672a9000148,test,Преподавание и обучение,5.0811
b1d9609811f9e08,test,,4.7565
bfc3cc312808926,control,,3.1709
3fd323f7977246a,test,,3.4033
9551f30a2b554f0,control,,4.945
6b0c5cd8a9350d7,control,,4.0953
4c26836be37a6cf,test,Дизайн,4.4682
04c2d017fed3d62,control,Преподавание и обучение,5.0271
5a1f4e1d3746889,test,Преподавание и обучение,4.3197
4896b798a244761,test,Управление командой,3.9747
0d5bffc35cea81e,test,,6.1913
153fb5cd837ed55,control,,5.7697
82b73361227870a,test,,2.9994
8464a878bef3c6d,test,,5.637
61f71af9a943d5a,control,,2.3159
0baa48cdd441618,test,,5.8173
d3a002cc3c87997,test,,5.6007
a5fad4bcd35549b,control,,5.8399
e2c1dea5b751b69,test,,6.0591
b279e0226f916a6,control,,4.5408
2da4a496074c999,test,,4.3673
a0c870b81e6cc0e,control,Преподавание и обучение,6.7115
54daa3b8a36d7fa,control,,3.4601
fd98e5b3a2e598f,control,,4.8992
e62cba514a4e86d,test,,5.0443
51149e533623381,test,,6.1321
a1dfdc72f684308,test,,5.6987
a9c09aad013b86f,control,,5.5113
3c78954ba65ae05,control,,4.7303
490f605b77115d8,test,,5.7217
e778579ef2891bb,test,,2.0061
a37772721181f34,test,,4.5594
123a640fb1a9b7d,test,,5.0204
31a5f2bfadf8587,control,,6.4379
ff9ee537bb9c6d5,control,,4.5882
b34be7d214a52bf,control,,4.0649
26241f5e9e98d5c,test,,2.9679
2b133f68be57a39,test,Преподавание и обучение,4.8522
d05341df76615c8,control,Другое,5.6247
dfd3de32e67b244,test,Дизайн,7.3687
4db94effe926af7,test,,8.0343
9bcf8eb09e7062e,control,,4.3911
8c4320b427be0ec,test,Дизайн,3.3601
fb7b351ad78b4e0,control,,6.3021
2e463ada0dee6c6,control,,7.2933
1dd8ede9d4e0973,test,,6.0139
7ffb3812dfff158,test,,5.1517
ac5fd0cdb876c5a,test,Преподавание и обучение,4.0897
9c62665f9ee5ba0,test,,4.7155
0dfb96affe70932,test,,5.7328
154ce23b99d71c4,test,,5.2766
110395a82b2b6e8,control,,4.374
f2ec37b27321a23,control,,3.1701
2bb8b0bc7793b65,test,Преподавание и обучение,5.7445
b300a71ec1fc5f3,control,,4.7984
2ec5f82e15afaed,control,,6.4654
76c76da6cf4ddd4,control,,5.4397
d30cfc5b15203db,test,,6.8413
879d2bcc89273f1,control,,5.7432
282bdc117405f74,control,Преподавание и обучение,3.5136
643ed3ea08ca2e6,test,,4.8293
590f9ae53ead926,control,,4.302
cb1749a7fca6611,control,,5.6994
fc1f74930e8f717,test,,4.3944
933dfc93b315c8f,test,Преподавание и обучение,5.8729
231972cc90baab2,control,Преподавание и обучение,3.8659
22b589f34e536dc,test,,5.0962
b396c4d6e8ebcad,test,Преподавание и обучение,4.0117
f5ad78d7bd84e50,test,Преподавание и обучение,6.4561
5daa311a3828e65,control,Преподавание и обучение,5.5617
bcf434f59e3984a,test,,5.3615
708175760e4d748,control,,5.6959
03619710aad31c8,test,Преподавание и обучение,4.4196
5df87a6e5e72d5a,test,,5.432
c03380bf5826b33,control,Преподавание и обучение,4.4569
4bab56ae15660d9,control,Преподавание и обучение,4.6119
e2ce0f39c6abffd,control,Преподавание и обучение,4.1794
1977c8b399fcbe7,control,Другое,6.704
4e5a4c4f4813b4f,control,,5.4955
ba02463e98ac105,control,Преподавание и обучение,5.0255
8e07a7c5c9b0147,test,,6.4432
3c0a6e0e353e2ca,control,,5.6457
f533fb8bada8601,control,,7.1368
77bc6d5b272310c,control,,5.9192
ea8baf0261d8694,control,Преподавание и обучение,4.0624
98eb2d8e831d951,test,Другое,6.2675
352a6763a2f501f,control,,4.695
a8eb47ed6cdd83b,control,Другое,3.7516
ba4417aebed12e7,test,,5.7549
d4352423c0c0f43,control,Преподавание и обучение,6.3167
f0e93b3f6e4a1f5,control,,4.9823
bc69aadb6146c96,control,,3.3785
d7004eddea19293,test,,5.1894
6a2030c5d295540,test,,4.96
eb0cee5769ce7ec,test,,5.3047
09f58b970248993,test,,4.8169
584ca33d2ab68d0,test,Преподавание и обучение,4.7862
94edd42cab116e8,control,,5.5091
f0bb6314684fd1b,test,,4.4807
964c88405602f27,test,,5.7662
a4054fffaa9c0e3,control,Преподавание и обучение,4.1695
1c825132040d59c,test,,6.8592
cfefb2ad9ceacc3,test,,4.8033
53f6d3a9e264c5d,control,Другое,4.4897
404929baec39ff2,control,Преподавание и обучение,4.0171
5858de1027d7347,control,,6.2121
492fd6ea2c291e4,control,Преподавание и обучение,4.3286
e0f8b10beb19460,control,,2.9689
e674f04b8f8502f,control,,4.8926
fb577011b41e29a,control,,5.4356
539efe9c384c30f,test,Преподавание и обучение,5.575
8be26b433b5cdfd,test,Другое,6.1675
4bad2da14a598bc,control,Разработка и инженерия,3.9985
cb5790750a5cd63,control,Управление командой,4.9308
38e64ebf838de00,test,Преподавание и обучение,5.9887
a8916f6bffad461,test,Управление продуктом,6.6215
2f3e64c3fafad35,test,,4.2177
dcad56cbdb0fc70,test,Аналитика и исследования,5.2023
4224ef61b1898ac,test,,6.4758
065a6e7da362282,control,,5.2611
4445a1a13358ea1,control,,4.6486
c7de8e2c174bede,test,,5.6826
1b9018e750cf38a,test,,4.7568
6f4f8a20c0dda6e,control,,3.529
dcbe18901e54737,control,Преподавание и обучение,4.8403
6752bf04e467e6b,test,Другое,4.1722
ef66680653cdbbb,test,,5.481
d34fb0aff2f5126,test,Другое,5.4391
aa85524518982cb,test,,4.7837
3f7aa492fe904ec,test,,4.3971
da88567c874e0a9,control,,3.9929
dc2fcb5cd3fb9b8,control,Преподавание и обучение,4.6363
1b9fc2779801baf,test,,3.9696
220beeeed851e58,test,,4.4962
e2bf4e46692c29a,control,,3.6902
c5882e1235662c9,control,,5.2454
ae0ae2b7c456e1b,control,,5.0188
6335f1f07c58874,test,Преподавание и обучение,4.6619
1fa4d67b787d8f7,control,Преподавание и обучение,4.2376
d6f388386f883d1,control,Преподавание и обучение,5.7407
30ebba530da6cee,control,,4.6674
5439a65a2f9f4f7,control,,4.5028
c1042f895202782,test,Преподавание и обучение,3.8618
6bb97481850702f,test,Другое,4.926
6714793a3f614d7,test,Другое,6.1376
df1cfc79d711920,control,Другое,5.1087
ef3a5e0f01a69cc,test,,4.9565
47eafbbcaa913db,test,,5.3092
84bd1fe752176ac,control,,6.594
ebeb20d15ed2ebd,test,,4.665
926113300f9875e,test,Преподавание и обучение,5.095
91a815ecf3cba4f,test,,3.5981
31381f8a363d4b1,test,Преподавание и обучение,4.8245
cf56af3c5cb7062,test,Разработка и инженерия,5.2555
42f194bb7d8cd76,control,Преподавание и обучение,4.3729
6abfd86d248fbc8,test,,3.7676
d90d1e9c17f4f6e,control,Разработка и инженерия,4.7414
2cf78648c2391d1,control,,2.2913
49bc4cecb71f4f2,test,,4.4412
2fd33087901ce7c,test,Преподавание и обучение,3.8072
8eacb7c2c7e65d4,test,,6.4529
91f7b003decb8af,control,Разработка и инженерия,4.3294
5f767c5be1237b3,control,Финансы и консалтинг,3.3094
ee29a42f5b0b5a7,test,Редактура и копирайтинг,5.818
ab867bbab7b8441,test,,5.8004
8a49df6f03528ec,control,Преподавание и обучение,4.2409
84204b7abab16bf,control,Разработка и инженерия,4.4204
2bbdd5bb8193fa9,control,,5.6004
e7838bdae143087,test,,4.1952
3138e5aed7e5d05,test,,6.6146
6a08132d07383cb,control,,4.4138
b4cb10096071479,test,,4.1176
290e465a52c21fa,control,,5.3129
f0d43cc8ca32f84,control,,4.6408
43f4b485eb20544,control,Преподавание и обучение,5.4012
4b15916affc3695,test,Преподавание и обучение,5.3351
b90d08464081f68,test,,4.9991
eb82bd4dbffe7f5,test,Другое,8.3878
cbf43eae41be3d0,test,,5.8078
fc0a80606af7d5f,test,,4.7433
ab93697bdb908d9,control,,3.4749
e0d73f6b56311d0,control,Другое,7.0663
8763b94b68a9f90,control,Преподавание и обучение,4.8193
e6d2c1bebdf6372,test,,4.3156
be5f75d3089daf4,test,Дизайн,5.0712
5273194e3364697,control,,6.2101
96d14d35a79b89a,control,,5.257
69de9d34053fb5e,test,,4.9682
c33920a5bdb1437,test,,4.352
b9b753c9329bfb9,control,,2.5146
166c794380ebbaa,test,Преподавание и обучение,4.7598
47812c31e4c968e,control,Преподавание и обучение,5.8618
291299db489ba1c,control,,3.6724
d08716e7f4d76de,control,,6.3538
ab71dfb9d3d0891,test,,5.8858
b88c17737d4c7b6,test,,5.8653
1aff7c1c89194cc,test,,5.5428
41f9ce279428824,test,,5.3412
118c2c8976252b2,test,,3.4936
959bda14bbb3179,control,,6.4705
5d33e8d1f9c6b2d,control,,6.1199
e83f41922f62f7f,test,,4.2931
af9941ae5344307,control,Преподавание и обучение,5.3554
c0b69404c8b5e60,test,Преподавание и обучение,5.8329
572acb9fa135109,test,Преподавание и обучение,4.6781
